epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2509,1.59549,3.23286,1.24747,0.87408,0.1355,0.15469,0.10782,1.04912,1.10166,0.91452,5.775e-05,5.775e-05,5.775e-05
2,36.5277,1.44889,1.63042,1.12723,0.79614,0.14821,0.16427,0.11509,1.03875,0.98002,0.92667,0.000104591,0.000104591,0.000104591
3,47.0926,1.37896,1.38594,1.09311,0.87412,0.15304,0.18705,0.12451,1.06315,0.89992,0.92435,0.000139882,0.000139882,0.000139882
4,57.8843,1.34666,1.30708,1.09167,0.76118,0.19636,0.20387,0.13455,1.05817,0.90081,0.93745,0.000123025,0.000123025,0.000123025
5,68.715,1.3117,1.18529,1.06887,0.94398,0.20745,0.21814,0.14403,1.05156,0.8342,0.93554,0.0001057,0.0001057,0.0001057
6,79.5807,1.2791,1.13295,1.05391,0.93605,0.21687,0.23082,0.15655,1.04263,0.78058,0.9249,8.8375e-05,8.8375e-05,8.8375e-05
7,89.7515,1.25658,1.07934,1.04341,0.87029,0.20125,0.2304,0.15271,1.03041,0.77316,0.9224,7.105e-05,7.105e-05,7.105e-05
8,99.4562,1.26189,1.05001,1.04674,0.93425,0.21447,0.23143,0.15332,1.03069,0.78028,0.92116,5.3725e-05,5.3725e-05,5.3725e-05
9,109.212,1.20945,1.01356,1.02533,0.85354,0.21846,0.23273,0.15433,1.01731,0.7692,0.9198,3.64e-05,3.64e-05,3.64e-05
10,119.428,1.20065,1.01293,1.02263,0.82336,0.22914,0.22983,0.15173,1.02259,0.76473,0.92384,1.9075e-05,1.9075e-05,1.9075e-05
